Id, NetworkId, MNC, TAPCode
1319, 1066, 1, 'ECUPG'
1320, 1067, 2, NULL
1321, 12, 320, NULL
1322, 12, 330, NULL
1323, 434, 10, NULL
1324, 169, 1, 'GMB01'
1325, 224, 6, 'KHML1'
1326, 1068, 1, NULL
1327, 1069, 1, NULL
1328, 425, 5, NULL
1329, 425, 6, NULL
1330, 1070, 1, NULL
1332, 1072, 17, NULL
1333, 1073, 1, 'DJIDJ'
1334, 1074, 26, NULL
1335, 361, 27, NULL
1336, 1076, 2, 'ISLTL'
1337, 1077, 1, NULL
1338, 1078, 1, 'HTICL'
1339, 1079, 2, NULL
1340, 1080, 3, NULL
1341, 1081, 28, NULL
1342, 1082, 4, NULL
1343, 361, 31, NULL
1344, 1149, 88, NULL
1345, 1149, 25, NULL
1346, 1084, 5, NULL
1347, 89, 6, NULL
1348, 1085, 4, NULL
1349, 1085, 50, 'MEXIU'
1350, 370, 18, NULL
1351, 1086, 2, 'MRTCH'
1352, 1087, 10, 'MRTMM'
1353, 507, 99, NULL
1354, 1088, 101, 'COLCM'
1355, 1089, 102, NULL
1356, 1089, 123, 'COLTM'
1360, 296, 18, NULL
1361, 373, 46, NULL
1362, 296, 62, NULL
1363, 1090, 3, 'CRICL'
1364, 1091, 0, NULL
1365, 1092, 2, 'CHLTM'
1366, 1093, 9, 'CHLN3'
1367, 1093, 4, NULL
1368, 1094, 6, NULL
1369, 368, 11, NULL
1370, 1095, 8, NULL
1371, 1095, 2, NULL
1372, 1095, 4, NULL
1373, 1096, 6, NULL
1374, 1097, 6, NULL
1375, 1098, 10, NULL
1376, 1084, 3, NULL
1377, 149, 21, 'NICEN'
1378, 149, 73, 'NICSC'
1379, 1100, 5, NULL
1382, 1103, 3, NULL
1383, 266, 6, NULL
1384, 146, 3, NULL
1385, 1104, 5, 'CIVTL'
1386, 424, 7, NULL
1387, 534, 50, NULL
1388, 51, 920, 'ATGCW'
1389, 51, 92, NULL
1390, 1105, 89, 'CODSA'
1391, 112, 29, NULL
1392, 1106, 1, NULL
1393, 1107, 0, NULL
1394, 1107, 76, NULL
1395, 1107, 77, NULL
1396, 296, 19, NULL
1397, 1108, 1, 'GTMSC'
1398, 296, 13, NULL
1399, 296, 29, NULL
1400, 1085, 1, 'MEXNC'
1401, 426, 34, 'ARGTP'
1402, 426, 341, NULL
1404, 1111, 3, NULL
1405, 1092, 7, NULL
1406, 431, 4, NULL
1407, 1112, 4, 'AGOMV'
1408, 1113, 1, 'GLP01'
1409, 1114, 3, NULL
1410, 1115, 20, NULL
1411, 1116, 1, 'HNDME'
1412, 1117, 30, NULL
1413, 1116, 40, 'HNDDC'
1414, 1119, 2, 'BHRMV'
1415, 1120, 120, NULL
1416, 1121, 300, NULL
1417, 1122, 320, NULL
1418, 1123, 340, NULL
1419, 1124, 640, NULL
1420, 1125, 610, NULL
1421, 1127, 3, NULL
1422, 186, 17, NULL
1423, 464, 71, NULL
1424, 464, 72, NULL
1425, 148, 1, 'CUB01'
1426, 1128, 1, 'GINGS'
